SCN	Title
1001573547	Beginning_Excel
892455389	Nationalism_self-determination_and_secession
1001268505	Microbiology
bcviu000875	British_Columbia_in_a_global_context
1001282288	In_the_community
933883777	Algebra_and_trigonometry
896066740	Adult_literacy_fundamentals_mathematics
898309776	Human_resource_management
951750571	A_first_course_in_linear_algebra
bcviu001679	Canadian_history
944246088	Good_corporation_bad_corporation
883986370	Sustainability
968326927	The_history_of_our_tribe
892455378	Information_systems_for_business_and_beyond
884028962	Organic_chemistry_with_a_biological_emphasis
933620788	Writing_in_college
1001573137	BC_open_textbook_accessibility_toolkit
bcviu000873	Brief_calculus
959619164	Writing_for_strategic_communication_industries
940959238	Steps_to_success
896066672	Democracy_in_brief
bcviu001677	BC_reads
951067061	Français_interactif
bcviu000848	Principles_of_macroeconomics
973423980	Prealgebra
sarah0026545	Modern_philosophy
953999340	Teaching_autoethnography
1001254247	Mechanics
bcviu001675	Concepts_of_biology
bcviu000853	The_NGO_handbook
883986368	Electronic_commerce
bcviu000346	Accounting_principles
892455379	Introducing_marketing
bcviu000865	Basics_of_fluid_mechanics
865847842	Anatomy__physiology
896066749	Database_design
bcviu000874	Concept_development_studies_in_chemistry
900282227	US_history
861341268	Literature_the_humanities_and_humanity
sarah0026538	Biology
975287534	Greek_and_Latin_roots_for_science_and_the_social_sciences
bcviu000985	Elementary_differential_equations_with_boundary_value_problems
1001572494	BC_open_textbook_print_on_demand_guide
1001573772	The_Boat_People
bcviu000862	Understanding_media_and_culture
1000618203	Introduction_to_logic_and_critical_thinking
961476196	Astronomy
896066633	Calculus-based_physics_I
1000615977	Strategies_for_academic_success
908396889	Nature_of_geographic_information
bcviu000849	Principles_of_microeconomics
bcviu000866	Principles_of_sociological_inquiry
bcviu001672	Introduction_to_tourism_and_hospitality_in_BC
bcviu000975	English_literature
162105783	Medicines_by_design
933925017	Chemistry
993255777	Exploring_movie_construction_and_production
1001573653	Environmental_biology
1001281429	Professional_communications_OER_
897840005	Precalculus
bcviu001674	Workplace_safety_in_the_foodservice_industry
ocn892455382	Introductory_business_statistics_with_interactive_spreadsheets
1001573194	CB_trousse_d’outils_d’accessibilité_pour_les
956400307	A_brief_introduction_to_engineering_computation_with_MATLAB
bcviu001947	Graphic_design_and_print_production_fundamentals
900282580	Psychology
926273796	Physical_geology
1000616343	OER_toolkit_for_trades_instructors
sarah0026565	Introductory_statistics
961352944	University_physics
970665265	A_concise_introduction_to_logic
sarah0026555	Presentation_software
973884682	Calculus
bcviu000972	Principles_of_social_psychology
1001573312	BC_open_textbook_authoring_guide
bcviu000851	Human_rights_in_brief
bcviu000347	Native_peoples_of_North_America
sarah0026564	Communication_theory
959336726	Essential_skills_companion_kit_for_culinary_arts_trades_training
bcviu001673	Food_safety_sanitation_and_personal_hygiene
884028977	Writing_for_success
bcviu000343	Media_studies_101
1001573772	When_we_were_alone_/
bcviu001949	Practical_meteorology
1001573436	The_word_on_college_reading_and_writing
959336725	eMarketing
884028994	Information_systems
1001573300	BC_open_textbook_pressbooks_guide
951031923	Discover_psychology_20
1001573486	Forest_measurements
bcviu000870	Introductory_business_statistics
bcviu000854	Women_in_the_world_today
sarah0026561	College_physics
sarah0026566	Introductory_chemistry
953039477	Business_communication_for_success
bcviu000971	Introduction_to_psychology
953994213	Principles_of_marketing
883986360	Principles_of_economics
sarah0026563	Macroeconomics
911062653	Introduction_to_sociology
898309777	Sociology
1001280624	Perspectives
1001282357	In_the_workplace
bcviu000871	Algorithms_and_data_structures
896066734	Fundamentals_of_electrical_engineering_I
892455358	Geographic_information_system_basics
957556469	Fundamentals_of_business
1001572834	Faculty_OER_toolkit
1001572573	BC_open_textbook_adoption_guide
bcviu000861	Analytical_chemistry_20
884029007	Mastering_strategic_management
bcviu001948	Clinical_procedures_for_safer_patient_care
961216390	Plumber_apprenticeship_program
bcviu001678	Ethics_in_law_enforcement
914216999	Building_a_competitive_First_Nation_investment_climate
1001572912	OER_Research_toolkit
982127523	Supporting_individuals_with_intellectual_disabilities__mental_illness
946062815	Open_modernisms_
932072340	Nursing_care_at_the_end_of_life
bcviu000855	Digital_foundations
926273797	Teaching_in_a_digital_age
957556634	American_government
884028943	Open_data_structures_(in_Java)
973423979	Knowing_home
933887919	College_algebra
1001573772	Open_genetics_lectures_Fall_2017
1000616801	Global_womens_issues
884028893	forall_x
1001572651	BCcampus_OER_student_toolkit
1001573315	BC_open_textbook_adaptation_guide
1000616140	Intermediate_financial_accounting
sarah0026543	Liberté
bcviu000858	Calculus-based_physics_II
884029004	Research_methods_in_psychology
