                 SCN	              |               title
--------------------------------------------------------------------------------
201802141659510080002			The_eagle_of_the_Ninth	
201802141659510080045			The_mountain_between_us	
201802141659510080064			Thunder_and_rain	
201802141659510080083			Blood_feud	
201802141659510080099			The_dead_dont_dance	
201802141659510080111			Forgiveness	
201802141659510080126			American_war	
201802141659510080139			Precious_cargo	
201802141659510080152			Great_Escapes	
201802141659510080162			The_Boat_People	
e9959a9c-add7-4189-877e-219c6cbc7aa0	The_art_of_unnecessarily_long_UUIDs_2018	
sarah0026552				Anatomy__physiology	
(OCoLC)865847842			Anatomy__physiology	
sarah0026564				Communication_theory	
(OCoLC)884029014			Communication_theory	
sarah0026555				Presentation_software	
(OCoLC)884029026			Presentation_software	
sarah0026543				Liberté	
(OCoLC)884028938			Liberté	
sarah0026538				Biology	
(OCoLC)884028951			Biology	
sarah0026566				Introductory_chemistry	
(OCoLC)884029015			Introductory_chemistry	
sarah0026563				Macroeconomics	
(OCoLC)884029058			Macroeconomics	
sarah0026558				Mastering_strategic_management	
(OCoLC)884029007			Mastering_strategic_management	
sarah0026550				forall_x
(OCoLC)884028893			forall_x
sarah0026549				Writing_for_success
(OCoLC)884028977			Writing_for_success
sarah0026547				Open_data_structures_(in_Java)
(OCoLC)884028943			Open_data_structures_(in_Java)
sarah0026545				Modern_philosophy
(OCoLC)884028996			Modern_philosophy
sarah0026553				Research_methods_in_psychology
(OCoLC)884029004			Research_methods_in_psychology
201802141659510105644			Principles_of_microeconomics
sarah0026565				Introductory_statistics
(OCoLC)884029059			Introductory_statistics
sarah0026539				Organic_chemistry_with_a_biological_emphasis
(OCoLC)884028962			Organic_chemistry_with_a_biological_emphasis
sarah0026559				Introduction_to_psychology
(OCoLC)884029038			Introduction_to_psychology
sarah0026544				Precalculus
(OCoLC)884028964			Precalculus
sarah0026561				College_physics
(OCoLC)884028957			College_physics
sarah0026546				Information_systems
(OCoLC)884028994			Information_systems
201802141659510106123			Project_management
sarah0026557				Database_design
(OCoLC)884029006			Database_design
201802141659510106219			Research_methods_in_psychology
sarah0026540				Principles_of_social_psychology
(OCoLC)884028988			Principles_of_social_psychology
bcviu000346				Accounting_principles
(OCoLC)883986353			Accounting_principles
bcviu000345				Concepts_of_biology
(OCoLC)865580601			Concepts_of_biology
bcviu000343				Media_studies_101
(OCoLC)883986359			Media_studies_101
bcviu000347				Native_peoples_of_North_America
(OCoLC)861340132			Native_peoples_of_North_America
bcviu000344				Principles_of_economics
(OCoLC)883986360			Principles_of_economics
bcviu000866				Principles_of_sociological_inquiry
(OCoLC)896066697			Principles_of_sociological_inquiry
bcviu000349				Sustainability
(OCoLC)883986370			Sustainability
bcviu000348				Electronic_commerce
(OCoLC)883986368			Electronic_commerce
bcviu000871				Algorithms_and_data_structures
(OCoLC)892455248			Algorithms_and_data_structures	
bcviu000861				Analytical_chemistry_20	
(OCoLC)896066694			Analytical_chemistry_20	
bcviu000850				Nationalism_self-determination_and_secession	
(OCoLC)892455389			Nationalism_self-determination_and_secession	
bcviu000865				Basics_of_fluid_mechanics	
(OCoLC)896066696			Basics_of_fluid_mechanics	
bcviu000867				Sociology	
(OCoLC)898309777			Sociology	
bcviu000853				The_NGO_handbook	
(OCoLC)864746599			The_NGO_handbook	
bcviu000875				British_Columbia_in_a_global_context	
(OCoLC)896066638			British_Columbia_in_a_global_context	
bcviu000856				Information_systems_for_business_and_beyond	
(OCoLC)892455378			Information_systems_for_business_and_beyond	
bcviu000863				Geographic_information_system_basics	
(OCoLC)892455358			Geographic_information_system_basics	
bcviu000860				Human_resource_management	
(OCoLC)898309776			Human_resource_management	
bcviu000869				Introducing_marketing	
(OCoLC)892455379			Introducing_marketing	
bcviu000855				Digital_foundations	
(OCoLC)896066701			Digital_foundations	
bcviu000874				Concept_development_studies_in_chemistry	
